"No.","Time","Source","Destination","Protocol","Length","Info"
"19913","73.744887","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19914","73.744887","118.98.109.79","192.168.1.8","UDP","67","443  >  54407 Len=25"
"19915","73.745141","192.168.1.8","118.98.109.79","UDP","86","54407  >  443 Len=44"
"19916","73.747572","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19917","73.747572","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19918","73.747572","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19919","73.747750","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19920","73.747874","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19921","73.747951","192.168.1.8","118.98.109.79","UDP","80","54407  >  443 Len=38"
"19922","73.748729","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19923","73.748729","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19924","73.748860","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19925","73.748981","192.168.1.8","118.98.109.79","UDP","82","54407  >  443 Len=40"
"19926","73.751329","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19927","73.751329","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19928","73.751955","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
"19929","73.752597","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
"19930","73.760237","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19931","73.760237","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19932","73.760237","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19933","73.760237","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19934","73.760237","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19935","73.760577","192.168.1.8","118.98.109.79","UDP","84","54407  >  443 Len=42"
"19936","73.760763","192.168.1.8","118.98.109.79","UDP","86","54407  >  443 Len=44"
"19937","73.760921","192.168.1.8","34.111.151.213","TCP","55","[TCP Keep-Alive] 61994  >  443 [ACK] Seq=1 Ack=1 Win=64194 Len=1"
"19938","73.761110","192.168.1.8","118.98.109.79","UDP","86","54407  >  443 Len=44"
"19939","73.761251","192.168.1.8","118.98.109.79","UDP","88","54407  >  443 Len=46"
"19940","73.761366","192.168.1.8","118.98.109.79","UDP","90","54407  >  443 Len=48"
"19941","73.765220","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
"19942","73.765220","118.98.109.79","192.168.1.8","UDP","1292","443  >  54407 Len=1250"
